商品,标签
100g*5瓶益力多,正常
100g卫龙点心面黑椒牛排味,滞销
100g果王咸柑桔罐装,正常
100g越南LIPO奶味面包干,滞销
103g康师傅红烧牛肉面,正常
107g出前一丁桶面酱香牛肉王,滞销
10g卫龙亲嘴烧香辣味,正常
10g越南LIPO奶味面包干,滞销
10g越南LIPO奶味面包干0015,滞销
110g顺宝九制话梅,正常
117gUFO炒面铁板色拉鱿鱼风味,正常
123gUFO炒面XO酱海鲜风味,正常
12g劲仔小鱼卤香味,正常
12g劲仔小鱼麻辣味,正常
12g劲仔小鱼（香辣味）,滞销
130g果王玉带蚕豆,正常
13g无穷烤鸡小腿蜂蜜味,正常
13g雀巢咖啡1+2特浓,滞销
145g果王迷你山楂包装,正常
145ml旺仔牛奶盒装,正常
145ml旺仔牛奶罐装,正常
148g富甲一方紫薯仔,正常
150g健能酸奶原味,正常
150g洽洽原香瓜子,正常
150抽诗竹竹纤维面巾纸,正常
160g盼盼手撕面包,正常
180g统一满汉全席台式半筋半肉牛肉面,正常
180ml雀巢咖啡罐装,正常
188g澳门永辉鸡仔饼,正常
205g伊利安慕希原味,正常
205ml安慕希蓝莓味,滞销
20g咩咩世界虾味条,滞销
20g咪咪虾条马来西亚风味,正常
20g洽洽每日坚果,滞销
20g马来西亚风味咪咪蟹味粒0219,正常
220g宝丰龙龟苓膏,滞销
225g味之不规则饼干芝士味,正常
250ML东鹏特饮,正常
250ml燕塘原味酸奶,正常
250ml燕塘甜牛奶,正常
250ml燕塘红枣牛奶,正常
250ml王老吉盒装,正常
250ml红牛,正常
250ml统一麦香奶茶,正常
250ml维他原味豆奶,正常
250ml维他奶低糖原味,正常
250ml维他奶巧克力味,正常
250ml维他奶黑豆奶饮品,滞销
250ml维他柠檬茶,热销
250ml维他椰子味豆奶7716,正常
250ml维他椰子植物蛋白饮料,正常
250ml维他椰子植物蛋白饮料9374,滞销
250ml香满楼纯牛奶,滞销
260g马来西亚进口茱蒂丝口口香饼干,正常
268ml雀巢咖啡丝滑拿铁,正常
2g韩国海牌海苔,正常
30g元朗小蛋卷,正常
30g无穷农场盐_鸡蛋,热销
32g卫龙亲嘴烧,正常
32g卫龙亲嘴烧川香味,正常
32g卫龙亲嘴烧红烧牛肉味,正常
330ml伊利畅意乳酸菌原味,正常
330ml伊利畅意乳酸菌草莓味,滞销
34g公仔迷你杯牛肉味,正常
34g公仔迷你杯风味排骨味,滞销
37.5g费列罗榛果威化巧克力3颗,正常
370g泰奇八宝粥,正常
40g上好佳日式鱼果,正常
40g上好佳田园薯片,滞销
40g上好佳田园薯片番茄味,滞销
40g乐事美国经典原味,正常
40g乐事薯片墨西哥鸡汁番茄味,正常
40g乐事薯片黄瓜味,正常
40g卫龙点心面黑椒牛排味,正常
40g双汇玉米热狗肠,正常
40g呀土豆番茄酱味,正常
40g呀土豆薯片滋香烤鸡味,正常
40g盼盼手撕面包,滞销
430g泰奇八宝粥,正常
450ml美汁源果粒橙,正常
45g双汇泡面拍挡,正常
480ml小茗同学冷泡溜溜哒茶,正常
480ml小茗同学冷泡青柠红茶,正常
48g好丽友薯愿香烤原味,正常
500ML宝矿力,滞销
500ml农夫果园 (芒果+菠萝+番石榴),正常
500ml加多宝,正常
500ml康师傅冰糖雪梨,正常
500ml恒大冰泉矿泉水,滞销
500ml统一冰糖雪梨,滞销
500ml统一阿萨姆奶茶,正常
500ml营养快线原味,滞销
50g上好佳日式鱼果,正常
50g上好佳田园薯片番茄味,正常
50g双层百力滋奶咖味,正常
50g双层百力滋特浓番茄味,正常
50g马赛克手撕鱿鱼条,正常
52g旺旺仙贝,正常
55g奥利奥原味夹心饼干,正常
55g奥利奥原味芝士饼干,正常
55g奥利奥迷你杯夹心小饼干杯装原味,滞销
58g丽芝士纳宝帝奶酪威化饼干,正常
5片装益达绿箭口香糖,正常
600ml可口可乐,正常
600ml脉动青柠,正常
600ml雪碧,正常
65g卫龙亲嘴豆皮,正常
68g多力多玉米片爆香热辣味,滞销
68g好丽友巧克力派2枚,正常
68g好丽友蛋黄派2枚,正常
70g乐事薯片原味,正常
70g乐事薯片青柠味,滞销
70g乐事薯片黄瓜味,正常
70g乐事薯片（原味）,滞销
70g乐事薯片（黄瓜味）,正常
70g乖媳妇野山泡椒凤爪,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,正常
75g达利园柠檬蛋糕,滞销
78g卫龙亲嘴语辣条,正常
78g卫龙亲语,滞销
78g合味道杯面香菇炖鸡风味,滞销
80g四洲粟一烧烧烤味,正常
80g盼盼手撕面包,滞销
80g香飘飘椰果奶茶原味,正常
80g香飘飘椰果奶茶麦香味,正常
80g马赛克香蕉片,滞销
83g汤达人酸辣豚骨拉面,正常
85g嘉士利果乐果香夹心饼干蓝莓味,正常
85g新麦潮北海道吐司,正常
85g新麦潮手撕面包（提子味）,正常
85g统一老坛酸菜牛肉面,正常
86g合味道浓猪骨味,正常
86g合味道海鲜风味,正常
91g徐福记凤梨酥,正常
上好佳田园薯片,正常
东鹏特饮,热销
丽芝士纳宝帝奶酪威化饼干,正常
乐事薯片（青柠）,滞销
乐事薯片（黄瓜味）,正常
乐虎,正常
乐虎（380ml）,正常
乖媳妇野山椒风爪,滞销
伊利优酸乳,热销
伊利纯牛奶,正常
优益C活菌型乳酸菌饮品,滞销
健能酸奶,滞销
农夫果园,正常
冰糖雪梨,正常
冰红茶（罐）,正常
凤爪,正常
利群（硬）,滞销
加多宝,正常
劲仔小鱼,滞销
劲仔小鱼（卤香味）,正常
劲仔小鱼（香辣味）,滞销
劲仔小鱼（麻辣味）,正常
卫龙亲嘴烧红烧牛肉味,正常
卫龙亲嘴烧麦辣鸡汁味,正常
卫龙大面筋,热销
印尼芝士威化饼干,正常
双汇玉米热狗肠,正常
口味王槟榔（红）,正常
口味王槟榔（绿色）,滞销
口味王槟榔（绿）,正常
可乐可乐,正常
可口可乐330ml,正常
可口可乐330ml（罐）,滞销
可口可乐最新款,正常
可口可乐（500ml）,正常
合味道（浓猪骨）,滞销
合味道（海鲜风味）,正常
味之不规则饼干（番茄味）,滞销
味之不规则饼干（芝士味）,正常
和成天下（红）,滞销
和成天下（黄）,正常
咪咪,滞销
咪咪虾条马来西亚风味,正常
商品14,滞销
商品2,滞销
商品21,滞销
商品36,滞销
四洲粟一烧烧烤味,滞销
多力多滋（热辣味）,滞销
多芙利香草奶油味蛋糕,滞销
天地一号,滞销
奥利奥原味芝士,正常
好吃点,正常
好吃点小饼干,正常
娃哈哈红枣酸奶,滞销
安慕希酸奶,滞销
小糖衣血糖仪,滞销
小茗同学,正常
小茗同学冷泡茶（乳酸菌味）,滞销
小茗同学（青柠红茶）,滞销
小鱼仔,正常
尖叫,正常
康师傅矿泉水,正常
怡宝,正常
怡宝矿泉水,正常
怡宝纯净水,热销
手撕素肉排,正常
拿铁咖啡（统一）,滞销
新麦潮北海道吐司,滞销
新麦潮天然酵母面包（牛奶风味）,正常
新麦潮天然酵母面包（良品铺子）,滞销
新麦潮手撕面包（提子味）,滞销
无穷农场盐_鸡蛋,正常
无穷烤鸡小腿（蜂蜜）,正常
日式鱼果,正常
旺仔牛奶,正常
旺仔牛奶145ml,正常
果粒橙,热销
椰树牌椰汁,正常
汤达人方便面,滞销
泰奇八宝粥,正常
湘潭铺子(羽泉版),正常
熊字饼,正常
燕塘原味酸奶,正常
燕塘甜牛奶,正常
燕塘红枣牛奶,正常
王老吉（500ml）,热销
王老吉（罐）,热销
珠江纯生啤酒,滞销
百事可乐330ml,滞销
百事可乐500ml,正常
益力多100g*5瓶,滞销
盼盼手撕面包,正常
红牛,热销
统一冰红茶,热销
统一来一桶香辣老坛酸菜牛肉面,正常
统一绿茶,热销
统一阿萨姆奶茶,正常
维他原味豆奶,正常
维他奶,正常
维他奶黑豆奶饮品,滞销
维他奶（巧克力味）,正常
维他柠檬茶,正常
维他柠檬茶330ml（罐）,正常
美年达（罐）,正常
美汁源果粒橙,正常
脉动,热销
脉动（椰子菠萝口味）,滞销
脉动（青柠）,正常
芙蓉王,正常
芦荟汁,滞销
芬达330ml,热销
茉莉蜜茶,正常
营养快线,热销
诗竹竹纤维面巾纸,正常
越南LIPO奶味面包干100g,正常
迷你纸巾,正常
银鹭八宝粥,正常
阿萨姆奶茶,热销
阿萨姆煎茶奶绿,正常
雀巢咖啡,正常
雪力矿泉水,滞销
雪碧,正常
雪碧330ml,正常
雪碧最新款,热销
雪碧（500ml）,正常
韩国海牌海苔,正常
顺宝九制梅,正常
香脆肠,正常
香豆干,正常
鸡爪,正常
鸭翅,正常
